Assignment,Activities,Date,Time,Action
131369,Fall24 DDM MS Form A,05/13/2025,07:17:03.599,Page next clicked on page 3
131369,Fall24 DDM MS Form A,05/13/2025,07:17:05.605,Page 5 Loaded
131369,Fall24 DDM MS Form A,05/13/2025,07:17:41.671,Page next clicked on page 5
131369,Fall24 DDM MS Form A,05/13/2025,07:17:43.147,Page 6 Loaded
131369,Fall24 DDM MS Form A,05/13/2025,07:17:50.136,Page next clicked on page 6
131369,Fall24 DDM MS Form A,05/13/2025,07:17:50.640,Page 7 Loaded
131369,Fall24 DDM MS Form A,05/13/2025,07:19:27.379,Page next clicked on page 7
131369,Fall24 DDM MS Form A,05/13/2025,07:19:29.595,Page 8 Loaded
131369,Fall24 DDM MS Form A,05/13/2025,07:20:37.313,Page next clicked on page 8
131369,Fall24 DDM MS Form A,05/13/2025,07:20:39.515,Page 9 Loaded
131369,Fall24 DDM MS Form A,05/13/2025,07:22:22.999,Page next clicked on page 9
131369,Fall24 DDM MS Form A,05/13/2025,07:22:23.947,Page 10 Loaded
131369,Fall24 DDM MS Form A,05/13/2025,07:22:31.246,Page next clicked on page 10
131369,Fall24 DDM MS Form A,05/13/2025,07:22:32.609,Page 11 Loaded
131369,Fall24 DDM MS Form A,05/13/2025,07:22:35.076,Page next clicked on page 11
131369,Fall24 DDM MS Form A,05/13/2025,07:22:35.597,Missing answers
131369,Fall24 DDM MS Form A,05/13/2025,07:23:07.274,Page next clicked on page 11
131369,Fall24 DDM MS Form A,05/13/2025,07:23:08.370,Page 12 Loaded
131369,Fall24 DDM MS Form A,05/13/2025,07:23:16.635,Page next clicked on page 12
131369,Fall24 DDM MS Form A,05/13/2025,07:23:17.422,Page 13 Loaded
131369,Fall24 DDM MS Form A,05/13/2025,07:23:20.956,Page next clicked on page 13
131369,Fall24 DDM MS Form A,05/13/2025,07:23:21.787,Page 14 Loaded
131369,Fall24 DDM MS Form A,05/13/2025,07:23:37.228,Page next clicked on page 14
131369,Fall24 DDM MS Form A,05/13/2025,07:23:38.177,Page 15 Loaded
131369,Fall24 DDM MS Form A,05/13/2025,07:23:41.710,Page next clicked on page 15
131369,Fall24 DDM MS Form A,05/13/2025,07:23:45.358,End activity Spring 2025 MS DDM Administration
131336,Fall 24 DDM MS Form Br,05/13/2025,08:48:42.787,Begin activity Spring 2025 MS DDM Administration
131336,Fall 24 DDM MS Form Br,05/13/2025,08:48:43.241,Page 1 Loaded
131336,Fall 24 DDM MS Form Br,05/13/2025,08:48:44.967,Page next clicked on page 1
131336,Fall 24 DDM MS Form Br,05/13/2025,08:48:45.639,Page 2 Loaded
131336,Fall 24 DDM MS Form Br,05/13/2025,08:48:52.697,Page next clicked on page 2
131336,Fall 24 DDM MS Form Br,05/13/2025,08:48:53.594,Page 3 Loaded
131336,Fall 24 DDM MS Form Br,05/13/2025,08:49:34.364,Page next clicked on page 3
131336,Fall 24 DDM MS Form Br,05/13/2025,08:49:36.131,Page 5 Loaded
131336,Fall 24 DDM MS Form Br,05/13/2025,08:49:52.196,Page next clicked on page 5
131336,Fall 24 DDM MS Form Br,05/13/2025,08:49:53.623,Page 6 Loaded
131336,Fall 24 DDM MS Form Br,05/13/2025,08:49:55.288,Page next clicked on page 6
131336,Fall 24 DDM MS Form Br,05/13/2025,08:49:55.835,Page 7 Loaded
131336,Fall 24 DDM MS Form Br,05/13/2025,08:50:43.624,Page next clicked on page 7
131336,Fall 24 DDM MS Form Br,05/13/2025,08:50:44.741,Page 8 Loaded
131336,Fall 24 DDM MS Form Br,05/13/2025,08:51:05.099,Page next clicked on page 8
131336,Fall 24 DDM MS Form Br,05/13/2025,08:51:06.125,Page 9 Loaded
131336,Fall 24 DDM MS Form Br,05/13/2025,08:51:33.101,Page next clicked on page 9
131336,Fall 24 DDM MS Form Br,05/13/2025,08:51:33.881,Page 10 Loaded
131336,Fall 24 DDM MS Form Br,05/13/2025,08:51:56.642,Page next clicked on page 10
131336,Fall 24 DDM MS Form Br,05/13/2025,08:51:57.480,Page 11 Loaded
131336,Fall 24 DDM MS Form Br,05/13/2025,08:53:20.321,Page next clicked on page 11
131336,Fall 24 DDM MS Form Br,05/13/2025,08:53:22.735,Page 12 Loaded
131336,Fall 24 DDM MS Form Br,05/13/2025,08:54:12.964,Page next clicked on page 12
131336,Fall 24 DDM MS Form Br,05/13/2025,08:54:14.085,Page 13 Loaded
131336,Fall 24 DDM MS Form Br,05/13/2025,08:55:04.428,Page next clicked on page 13
131336,Fall 24 DDM MS Form Br,05/13/2025,08:55:05.776,Page 14 Loaded
131336,Fall 24 DDM MS Form Br,05/13/2025,08:56:23.079,Page next clicked on page 14
131336,Fall 24 DDM MS Form Br,05/13/2025,08:56:24.116,Page 15 Loaded
131336,Fall 24 DDM MS Form Br,05/13/2025,08:56:44.143,Page next clicked on page 15
131336,Fall 24 DDM MS Form Br,05/13/2025,08:56:44.632,Missing answers
131336,Fall 24 DDM MS Form Br,05/13/2025,08:58:08.688,Page next clicked on page 15
131336,Fall 24 DDM MS Form Br,05/13/2025,08:58:10.215,Page 16 Loaded
131336,Fall 24 DDM MS Form Br,05/13/2025,08:58:41.604,Page next clicked on page 16
131336,Fall 24 DDM MS Form Br,05/13/2025,08:58:42.688,Page 17 Loaded
131336,Fall 24 DDM MS Form Br,05/13/2025,08:58:42.827,Page next clicked on page 17
131336,Fall 24 DDM MS Form Br,05/13/2025,08:58:43.184,Missing answers
131336,Fall 24 DDM MS Form Br,05/13/2025,08:59:03.170,Page next clicked on page 17
131336,Fall 24 DDM MS Form Br,05/13/2025,08:59:04.637,Page 18 Loaded
131336,Fall 24 DDM MS Form Br,05/13/2025,08:59:30.893,Page next clicked on page 18
131336,Fall 24 DDM MS Form Br,05/13/2025,08:59:33.558,End activity Spring 2025 MS DDM Administration
131365,Fall24 DDM MS Form A,05/13/2025,07:21:33.416,Begin activity Spring 2025 MS DDM Administration
131365,Fall24 DDM MS Form A,05/13/2025,07:21:37.131,Page 1 Loaded
131365,Fall24 DDM MS Form A,05/13/2025,07:22:03.931,Page next clicked on page 1
131365,Fall24 DDM MS Form A,05/13/2025,07:22:05.691,Page 2 Loaded
131365,Fall24 DDM MS Form A,05/13/2025,07:22:11.106,Page 2 Loaded
131365,Fall24 DDM MS Form A,05/13/2025,07:24:44.920,Page next clicked on page 2
131365,Fall24 DDM MS Form A,05/13/2025,07:24:45.247,Missing answers
131365,Fall24 DDM MS Form A,05/13/2025,07:24:56.976,Page next clicked on page 2
131365,Fall24 DDM MS Form A,05/13/2025,07:24:57.178,Missing answers
131365,Fall24 DDM MS Form A,05/13/2025,07:25:07.112,Page next clicked on page 2
131365,Fall24 DDM MS Form A,05/13/2025,07:25:08.660,Page 3 Loaded
131339,Fall 24 DDM MS Form Br,05/13/2025,07:55:21.579,Begin activity Spring 2025 MS DDM Administration
131339,Fall 24 DDM MS Form Br,05/13/2025,07:55:21.933,Page 1 Loaded
131339,Fall 24 DDM MS Form Br,05/13/2025,07:55:25.963,Page next clicked on page 1
131339,Fall 24 DDM MS Form Br,05/13/2025,07:55:26.426,Page 2 Loaded
131339,Fall 24 DDM MS Form Br,05/13/2025,07:55:36.376,Page next clicked on page 2
131339,Fall 24 DDM MS Form Br,05/13/2025,07:55:36.577,Missing answers
131339,Fall 24 DDM MS Form Br,05/13/2025,07:55:42.643,Page next clicked on page 2
131339,Fall 24 DDM MS Form Br,05/13/2025,07:55:43.451,Page 3 Loaded
131339,Fall 24 DDM MS Form Br,05/13/2025,07:55:43.521,Page next clicked on page 3
131339,Fall 24 DDM MS Form Br,05/13/2025,07:55:44.520,Missing answers
131339,Fall 24 DDM MS Form Br,05/13/2025,07:58:28.352,Page next clicked on page 3
131339,Fall 24 DDM MS Form Br,05/13/2025,07:58:29.323,Missing answers
131339,Fall 24 DDM MS Form Br,05/13/2025,07:58:36.293,Page next clicked on page 3
131339,Fall 24 DDM MS Form Br,05/13/2025,07:58:38.153,Page 5 Loaded
131339,Fall 24 DDM MS Form Br,05/13/2025,07:59:18.392,Page next clicked on page 5
131339,Fall 24 DDM MS Form Br,05/13/2025,07:59:19.582,Page 6 Loaded
131339,Fall 24 DDM MS Form Br,05/13/2025,08:00:29.897,Page next clicked on page 6
131339,Fall 24 DDM MS Form Br,05/13/2025,08:00:30.475,Page 7 Loaded
131339,Fall 24 DDM MS Form Br,05/13/2025,08:03:42.050,Page next clicked on page 7
131339,Fall 24 DDM MS Form Br,05/13/2025,08:03:43.039,Page 8 Loaded
131339,Fall 24 DDM MS Form Br,05/13/2025,08:04:06.367,Page next clicked on page 8
131339,Fall 24 DDM MS Form Br,05/13/2025,08:04:07.240,Page 9 Loaded
131339,Fall 24 DDM MS Form Br,05/13/2025,08:05:01.248,Page next clicked on page 9
131339,Fall 24 DDM MS Form Br,05/13/2025,08:05:03.570,Page 10 Loaded
131339,Fall 24 DDM MS Form Br,05/13/2025,08:05:03.944,Page next clicked on page 10
131339,Fall 24 DDM MS Form Br,05/13/2025,08:05:04.610,Missing answers
131339,Fall 24 DDM MS Form Br,05/13/2025,08:05:14.950,Page next clicked on page 10
131339,Fall 24 DDM MS Form Br,05/13/2025,08:05:15.731,Page 11 Loaded
131339,Fall 24 DDM MS Form Br,05/13/2025,08:12:20.576,Page next clicked on page 11
131339,Fall 24 DDM MS Form Br,05/13/2025,08:12:22.794,Page 12 Loaded
131339,Fall 24 DDM MS Form Br,05/13/2025,08:15:16.998,Page next clicked on page 12
131339,Fall 24 DDM MS Form Br,05/13/2025,08:15:17.991,Page 13 Loaded
131339,Fall 24 DDM MS Form Br,05/13/2025,08:16:16.429,Page next clicked on page 13
131339,Fall 24 DDM MS Form Br,05/13/2025,08:16:17.594,Page 14 Loaded
131339,Fall 24 DDM MS Form Br,05/13/2025,08:17:57.130,Page next clicked on page 14
131339,Fall 24 DDM MS Form Br,05/13/2025,08:17:58.063,Page 15 Loaded
131339,Fall 24 DDM MS Form Br,05/13/2025,08:20:45.118,Page next clicked on page 15
131339,Fall 24 DDM MS Form Br,05/13/2025,08:20:45.593,Missing answers
131339,Fall 24 DDM MS Form Br,05/13/2025,08:21:41.642,Page next clicked on page 15
131339,Fall 24 DDM MS Form Br,05/13/2025,08:21:42.687,Page 16 Loaded
131339,Fall 24 DDM MS Form Br,05/13/2025,08:24:30.131,Page next clicked on page 16
131339,Fall 24 DDM MS Form Br,05/13/2025,08:24:31.141,Page 17 Loaded
131339,Fall 24 DDM MS Form Br,05/13/2025,08:24:33.708,Page next clicked on page 17
131339,Fall 24 DDM MS Form Br,05/13/2025,08:24:34.211,Missing answers
131339,Fall 24 DDM MS Form Br,05/13/2025,08:24:52.740,Page next clicked on page 17
131339,Fall 24 DDM MS Form Br,05/13/2025,08:24:53.592,Page 18 Loaded
131339,Fall 24 DDM MS Form Br,05/13/2025,08:25:28.637,Page next clicked on page 18
131339,Fall 24 DDM MS Form Br,05/13/2025,08:25:31.925,End activity Spring 2025 MS DDM Administration
131338,Fall24 DDM MS Form A,05/13/2025,08:48:49.072,Begin activity Spring 2025 MS DDM Administration
131338,Fall24 DDM MS Form A,05/13/2025,08:48:50.079,Page 1 Loaded
131338,Fall24 DDM MS Form A,05/13/2025,08:49:14.026,Page next clicked on page 1
131338,Fall24 DDM MS Form A,05/13/2025,08:49:15.978,Page 2 Loaded
131338,Fall24 DDM MS Form A,05/13/2025,08:49:20.758,Page next clicked on page 2
131338,Fall24 DDM MS Form A,05/13/2025,08:49:20.957,Missing answers
131338,Fall24 DDM MS Form A,05/13/2025,08:49:31.369,Page next clicked on page 2
131338,Fall24 DDM MS Form A,05/13/2025,08:49:32.542,Page 3 Loaded
131338,Fall24 DDM MS Form A,05/13/2025,08:50:28.612,Page next clicked on page 3
131338,Fall24 DDM MS Form A,05/13/2025,08:50:30.851,Page 5 Loaded
131338,Fall24 DDM MS Form A,05/13/2025,08:50:56.942,Page next clicked on page 5
131338,Fall24 DDM MS Form A,05/13/2025,08:50:58.445,Page 6 Loaded
131338,Fall24 DDM MS Form A,05/13/2025,08:51:03.624,Page next clicked on page 6
131338,Fall24 DDM MS Form A,05/13/2025,08:51:04.464,Page 7 Loaded
131338,Fall24 DDM MS Form A,05/13/2025,08:52:19.620,Page next clicked on page 7
131338,Fall24 DDM MS Form A,05/13/2025,08:52:21.935,Page 8 Loaded
131338,Fall24 DDM MS Form A,05/13/2025,08:53:28.638,Page next clicked on page 8
131338,Fall24 DDM MS Form A,05/13/2025,08:53:31.551,Page 9 Loaded
131338,Fall24 DDM MS Form A,05/13/2025,08:53:55.610,Page next clicked on page 9
131338,Fall24 DDM MS Form A,05/13/2025,08:53:56.673,Page 10 Loaded
131338,Fall24 DDM MS Form A,05/13/2025,08:54:00.844,Page next clicked on page 10
131338,Fall24 DDM MS Form A,05/13/2025,08:54:01.540,Page 11 Loaded
131338,Fall24 DDM MS Form A,05/13/2025,08:55:53.376,Page next clicked on page 11
131338,Fall24 DDM MS Form A,05/13/2025,08:55:54.750,Page 12 Loaded
131338,Fall24 DDM MS Form A,05/13/2025,08:56:13.966,Page next clicked on page 12
131338,Fall24 DDM MS Form A,05/13/2025,08:56:14.256,Missing answers
131338,Fall24 DDM MS Form A,05/13/2025,08:58:33.465,Page next clicked on page 12
131338,Fall24 DDM MS Form A,05/13/2025,08:58:34.643,Page 13 Loaded
131338,Fall24 DDM MS Form A,05/13/2025,09:04:02.776,Page next clicked on page 13
131338,Fall24 DDM MS Form A,05/13/2025,09:04:04.288,Page 14 Loaded
131338,Fall24 DDM MS Form A,05/13/2025,09:07:06.020,Page next clicked on page 14
131338,Fall24 DDM MS Form A,05/13/2025,09:07:06.344,Missing answers
131338,Fall24 DDM MS Form A,05/13/2025,09:07:13.676,Page next clicked on page 14
131338,Fall24 DDM MS Form A,05/13/2025,09:07:15.010,Page 15 Loaded
131338,Fall24 DDM MS Form A,05/13/2025,09:07:44.008,Page next clicked on page 15
131338,Fall24 DDM MS Form A,05/13/2025,09:07:44.350,Missing answers
131338,Fall24 DDM MS Form A,05/13/2025,09:08:00.986,Page next clicked on page 15
131338,Fall24 DDM MS Form A,05/13/2025,09:08:01.447,Missing answers
131338,Fall24 DDM MS Form A,05/13/2025,09:08:07.500,Page next clicked on page 15
131338,Fall24 DDM MS Form A,05/13/2025,09:08:10.565,End activity Spring 2025 MS DDM Administration
131370,Fall 24 DDM MS Form B,05/13/2025,07:20:40.240,Begin activity Spring 2025 MS DDM Administration
131370,Fall 24 DDM MS Form B,05/13/2025,07:20:40.757,Page 1 Loaded
131370,Fall 24 DDM MS Form B,05/13/2025,07:20:48.819,Page next clicked on page 1
131370,Fall 24 DDM MS Form B,05/13/2025,07:20:50.776,Page 2 Loaded
131370,Fall 24 DDM MS Form B,05/13/2025,07:20:52.803,Page next clicked on page 2
131370,Fall 24 DDM MS Form B,05/13/2025,07:20:53.010,Missing answers
131370,Fall 24 DDM MS Form B,05/13/2025,07:21:21.019,Page next clicked on page 2
131370,Fall 24 DDM MS Form B,05/13/2025,07:21:22.142,Page 3 Loaded
131370,Fall 24 DDM MS Form B,05/13/2025,07:21:44.427,Page next clicked on page 3
131370,Fall 24 DDM MS Form B,05/13/2025,07:21:45.642,Missing answers
131370,Fall 24 DDM MS Form B,05/13/2025,07:22:15.607,Page next clicked on page 3
131370,Fall 24 DDM MS Form B,05/13/2025,07:22:17.152,Page 5 Loaded
131370,Fall 24 DDM MS Form B,05/13/2025,07:23:14.977,Page next clicked on page 5
131370,Fall 24 DDM MS Form B,05/13/2025,07:23:16.295,Page 6 Loaded
131370,Fall 24 DDM MS Form B,05/13/2025,07:23:23.687,Page next clicked on page 6
131370,Fall 24 DDM MS Form B,05/13/2025,07:23:24.261,Page 7 Loaded
131370,Fall 24 DDM MS Form B,05/13/2025,07:23:48.532,Page next clicked on page 7
131370,Fall 24 DDM MS Form B,05/13/2025,07:23:49.488,Page 8 Loaded
131370,Fall 24 DDM MS Form B,05/13/2025,07:26:37.048,Page next clicked on page 8
131370,Fall 24 DDM MS Form B,05/13/2025,07:26:37.942,Page 9 Loaded
131370,Fall 24 DDM MS Form B,05/13/2025,07:27:03.620,Page next clicked on page 9
131370,Fall 24 DDM MS Form B,05/13/2025,07:27:04.784,Page 10 Loaded
131370,Fall 24 DDM MS Form B,05/13/2025,07:28:52.695,Page next clicked on page 10
131370,Fall 24 DDM MS Form B,05/13/2025,07:28:53.665,Page 11 Loaded
131370,Fall 24 DDM MS Form B,05/13/2025,07:30:21.102,Page next clicked on page 11
131370,Fall 24 DDM MS Form B,05/13/2025,07:30:22.093,Page 12 Loaded
131370,Fall 24 DDM MS Form B,05/13/2025,07:31:52.859,Page next clicked on page 12
131370,Fall 24 DDM MS Form B,05/13/2025,07:31:53.992,Page 13 Loaded
131370,Fall 24 DDM MS Form B,05/13/2025,07:37:00.228,Page next clicked on page 13
131370,Fall 24 DDM MS Form B,05/13/2025,07:37:01.341,Page 14 Loaded
131370,Fall 24 DDM MS Form B,05/13/2025,07:37:35.550,Page next clicked on page 14
131370,Fall 24 DDM MS Form B,05/13/2025,07:37:37.544,Page 15 Loaded
131370,Fall 24 DDM MS Form B,05/13/2025,07:37:52.434,Page next clicked on page 15
131370,Fall 24 DDM MS Form B,05/13/2025,07:37:53.443,Page 16 Loaded
131370,Fall 24 DDM MS Form B,05/13/2025,07:38:02.051,Page next clicked on page 16
131370,Fall 24 DDM MS Form B,05/13/2025,07:38:03.948,Page 17 Loaded
131370,Fall 24 DDM MS Form B,05/13/2025,07:38:29.408,Page next clicked on page 17
131370,Fall 24 DDM MS Form B,05/13/2025,07:38:30.333,Page 18 Loaded
131370,Fall 24 DDM MS Form B,05/13/2025,07:38:36.148,Page next clicked on page 18
131370,Fall 24 DDM MS Form B,05/13/2025,07:38:39.687,End activity Spring 2025 MS DDM Administration
131371,Fall 24 DDM MS Form Br,05/13/2025,07:21:21.446,Begin activity Spring 2025 MS DDM Administration
131371,Fall 24 DDM MS Form Br,05/13/2025,07:21:21.800,Page 1 Loaded
131371,Fall 24 DDM MS Form Br,05/13/2025,07:21:32.023,Page next clicked on page 1
131371,Fall 24 DDM MS Form Br,05/13/2025,07:21:32.485,Page 2 Loaded
131371,Fall 24 DDM MS Form Br,05/13/2025,07:21:43.994,Page next clicked on page 2
131371,Fall 24 DDM MS Form Br,05/13/2025,07:21:44.609,Page 3 Loaded
131371,Fall 24 DDM MS Form Br,05/13/2025,07:22:32.335,Page next clicked on page 3
131371,Fall 24 DDM MS Form Br,05/13/2025,07:22:33.918,Page 5 Loaded
131371,Fall 24 DDM MS Form Br,05/13/2025,07:26:40.632,Page next clicked on page 5
131371,Fall 24 DDM MS Form Br,05/13/2025,07:26:41.726,Page 6 Loaded
131371,Fall 24 DDM MS Form Br,05/13/2025,07:29:07.438,Page next clicked on page 6
131371,Fall 24 DDM MS Form Br,05/13/2025,07:29:07.878,Page 7 Loaded
131371,Fall 24 DDM MS Form Br,05/13/2025,07:39:09.104,Page next clicked on page 7
131371,Fall 24 DDM MS Form Br,05/13/2025,07:39:09.874,Page 8 Loaded
131371,Fall 24 DDM MS Form Br,05/13/2025,07:39:20.491,Page next clicked on page 8
131371,Fall 24 DDM MS Form Br,05/13/2025,07:39:20.928,Missing answers
131366,Fall 24 DDM MS Form B,05/13/2025,07:22:29.455,Begin activity Spring 2025 MS DDM Administration
131366,Fall 24 DDM MS Form B,05/13/2025,07:22:30.263,Page 1 Loaded
131366,Fall 24 DDM MS Form B,05/13/2025,07:22:35.653,Page next clicked on page 1
131366,Fall 24 DDM MS Form B,05/13/2025,07:22:36.170,Page 2 Loaded
131366,Fall 24 DDM MS Form B,05/13/2025,07:22:39.629,Page next clicked on page 2
131366,Fall 24 DDM MS Form B,05/13/2025,07:22:39.810,Missing answers
131366,Fall 24 DDM MS Form B,05/13/2025,07:23:07.780,Page next clicked on page 2
131366,Fall 24 DDM MS Form B,05/13/2025,07:23:08.593,Page 3 Loaded
131366,Fall 24 DDM MS Form B,05/13/2025,07:24:22.252,Page next clicked on page 3
131366,Fall 24 DDM MS Form B,05/13/2025,07:24:23.314,Missing answers
131366,Fall 24 DDM MS Form B,05/13/2025,07:24:48.546,Page next clicked on page 3
131366,Fall 24 DDM MS Form B,05/13/2025,07:24:50.279,Page 5 Loaded
131366,Fall 24 DDM MS Form B,05/13/2025,07:26:27.818,Page next clicked on page 5
131366,Fall 24 DDM MS Form B,05/13/2025,07:26:29.082,Page 6 Loaded
131366,Fall 24 DDM MS Form B,05/13/2025,07:26:52.087,Page next clicked on page 6
131366,Fall 24 DDM MS Form B,05/13/2025,07:26:52.651,Page 7 Loaded
131366,Fall 24 DDM MS Form B,05/13/2025,07:27:46.724,Page next clicked on page 7
131366,Fall 24 DDM MS Form B,05/13/2025,07:27:48.000,Page 8 Loaded
131366,Fall 24 DDM MS Form B,05/13/2025,07:28:54.295,Page next clicked on page 8
131366,Fall 24 DDM MS Form B,05/13/2025,07:28:55.719,Page 9 Loaded
131366,Fall 24 DDM MS Form B,05/13/2025,07:29:08.861,Page next clicked on page 9
131366,Fall 24 DDM MS Form B,05/13/2025,07:29:09.987,Page 10 Loaded
131366,Fall 24 DDM MS Form B,05/13/2025,07:30:21.262,Page next clicked on page 10
131366,Fall 24 DDM MS Form B,05/13/2025,07:30:22.171,Page 11 Loaded
131366,Fall 24 DDM MS Form B,05/13/2025,07:30:27.200,Page next clicked on page 11
131366,Fall 24 DDM MS Form B,05/13/2025,07:30:27.954,Page 12 Loaded
131366,Fall 24 DDM MS Form B,05/13/2025,07:34:48.558,Page next clicked on page 12
131366,Fall 24 DDM MS Form B,05/13/2025,07:34:49.776,Page 13 Loaded
131366,Fall 24 DDM MS Form B,05/13/2025,07:36:03.522,Page next clicked on page 13
131366,Fall 24 DDM MS Form B,05/13/2025,07:36:04.742,Page 14 Loaded
131366,Fall 24 DDM MS Form B,05/13/2025,07:36:31.717,Page next clicked on page 14
131366,Fall 24 DDM MS Form B,05/13/2025,07:36:33.952,Page 15 Loaded
131366,Fall 24 DDM MS Form B,05/13/2025,07:37:18.989,Page next clicked on page 15
131366,Fall 24 DDM MS Form B,05/13/2025,07:37:19.972,Page 16 Loaded
131366,Fall 24 DDM MS Form B,05/13/2025,07:37:29.827,Page next clicked on page 16
131366,Fall 24 DDM MS Form B,05/13/2025,07:37:30.852,Page 17 Loaded
131366,Fall 24 DDM MS Form B,05/13/2025,07:37:39.850,Page next clicked on page 17
