Assignment,Activities,Date,Time,Action
131786,Spr 25 CoT Form B1,05/19/2025,9:44:01,Page next clicked on page 17
131786,Spr 25 CoT Form B1,05/19/2025,9:44:05,Page 18 Loaded
131786,Spr 25 CoT Form B1,05/19/2025,9:45:00,Page next clicked on page 18
131786,Spr 25 CoT Form B1,05/19/2025,9:45:01,Page 19 Loaded
131786,Spr 25 CoT Form B1,05/19/2025,9:45:38,Page next clicked on page 19
131786,Spr 25 CoT Form B1,05/19/2025,9:45:39,Page 20 Loaded
131786,Spr 25 CoT Form B1,05/19/2025,9:46:06,Page next clicked on page 20
131786,Spr 25 CoT Form B1,05/19/2025,9:46:07,Page 21 Loaded
131786,Spr 25 CoT Form B1,05/19/2025,9:47:35,Page next clicked on page 21
131786,Spr 25 CoT Form B1,05/19/2025,9:47:37,Page 22 Loaded
131786,Spr 25 CoT Form B1,05/19/2025,10:23:59,Continue activity Spring 2025 CoT HS Administration
131786,Spr 25 CoT Form B1,05/19/2025,10:23:59,Page 22 Loaded
131786,Spr 25 CoT Form B1,05/19/2025,10:26:19,Page next clicked on page 22
131786,Spr 25 CoT Form B1,05/19/2025,10:26:19,Page 23 Loaded
131786,Spr 25 CoT Form B1,05/19/2025,10:27:01,Page next clicked on page 23
131786,Spr 25 CoT Form B1,05/19/2025,10:27:02,Missing answers
131786,Spr 25 CoT Form B1,05/19/2025,10:35:59,Continue activity Spring 2025 CoT HS Administration
131786,Spr 25 CoT Form B1,05/19/2025,10:36:00,Page 23 Loaded
131786,Spr 25 CoT Form B1,05/19/2025,11:28:33,Continue activity Spring 2025 CoT HS Administration
131786,Spr 25 CoT Form B1,05/19/2025,11:28:33,Page 23 Loaded
131786,Spr 25 CoT Form B1,05/19/2025,11:30:06,Page next clicked on page 23
131786,Spr 25 CoT Form B1,05/19/2025,11:30:06,Page 24 Loaded
131786,Spr 25 CoT Form B1,05/19/2025,11:31:10,Page next clicked on page 24
131786,Spr 25 CoT Form B1,05/19/2025,11:31:10,Page 25 Loaded
131786,Spr 25 CoT Form B1,05/19/2025,11:31:20,Page next clicked on page 25
131786,Spr 25 CoT Form B1,05/19/2025,11:31:21,End activity Spring 2025 CoT HS Administration
131791,Spr 25 CoT Form B1r,05/07/2025,6:27:05,Begin activity Spring 2025 CoT HS Administration
131791,Spr 25 CoT Form B1r,05/07/2025,6:27:06,Page 1 Loaded
131791,Spr 25 CoT Form B1r,05/07/2025,6:27:08,Page next clicked on page 1
131791,Spr 25 CoT Form B1r,05/07/2025,6:27:09,Page 2 Loaded
131791,Spr 25 CoT Form B1r,05/07/2025,6:27:14,Page next clicked on page 2
131791,Spr 25 CoT Form B1r,05/07/2025,6:27:15,Missing answers
131791,Spr 25 CoT Form B1r,05/07/2025,6:27:20,Page next clicked on page 2
131791,Spr 25 CoT Form B1r,05/07/2025,6:27:21,Page 3 Loaded
131791,Spr 25 CoT Form B1r,05/07/2025,6:27:48,Page next clicked on page 3
131791,Spr 25 CoT Form B1r,05/07/2025,6:27:50,Page 4 Loaded
131791,Spr 25 CoT Form B1r,05/07/2025,6:28:51,Page next clicked on page 4
131791,Spr 25 CoT Form B1r,05/07/2025,6:28:55,Page 5 Loaded
131791,Spr 25 CoT Form B1r,05/07/2025,6:29:05,Page next clicked on page 5
131791,Spr 25 CoT Form B1r,05/07/2025,6:29:06,Page 6 Loaded
131791,Spr 25 CoT Form B1r,05/08/2025,8:52:01,Continue activity Spring 2025 CoT HS Administration
131791,Spr 25 CoT Form B1r,05/08/2025,8:52:02,Page 6 Loaded
131791,Spr 25 CoT Form B1r,05/08/2025,8:56:03,Page next clicked on page 6
131791,Spr 25 CoT Form B1r,05/08/2025,8:56:04,Page 7 Loaded
131791,Spr 25 CoT Form B1r,05/08/2025,8:56:08,Page next clicked on page 7
131791,Spr 25 CoT Form B1r,05/08/2025,8:56:08,Missing answers
131791,Spr 25 CoT Form B1r,05/08/2025,8:56:42,Page next clicked on page 7
131791,Spr 25 CoT Form B1r,05/08/2025,8:56:43,Page 8 Loaded
131791,Spr 25 CoT Form B1r,05/08/2025,8:56:53,Page next clicked on page 8
131791,Spr 25 CoT Form B1r,05/08/2025,8:56:54,Page 9 Loaded
131791,Spr 25 CoT Form B1r,05/08/2025,8:58:15,Continue activity Spring 2025 CoT HS Administration
131791,Spr 25 CoT Form B1r,05/08/2025,8:58:16,Page 9 Loaded
131791,Spr 25 CoT Form B1r,05/08/2025,8:59:12,Continue activity Spring 2025 CoT HS Administration
131791,Spr 25 CoT Form B1r,05/08/2025,8:59:13,Page 9 Loaded
131791,Spr 25 CoT Form B1r,05/08/2025,9:00:21,Page next clicked on page 9
131791,Spr 25 CoT Form B1r,05/08/2025,9:00:22,Page 10 Loaded
131791,Spr 25 CoT Form B1r,05/08/2025,9:00:40,Page next clicked on page 10
131791,Spr 25 CoT Form B1r,05/08/2025,9:00:41,Page 11 Loaded
131791,Spr 25 CoT Form B1r,05/08/2025,9:01:12,Page next clicked on page 11
131791,Spr 25 CoT Form B1r,05/08/2025,9:01:13,Page 12 Loaded
131791,Spr 25 CoT Form B1r,05/08/2025,9:01:58,Page next clicked on page 12
131791,Spr 25 CoT Form B1r,05/08/2025,9:02:00,Missing answers
131791,Spr 25 CoT Form B1r,05/08/2025,9:02:26,Page next clicked on page 12
131791,Spr 25 CoT Form B1r,05/08/2025,9:02:28,Missing answers
131791,Spr 25 CoT Form B1r,05/08/2025,9:02:36,Page next clicked on page 12
131791,Spr 25 CoT Form B1r,05/08/2025,9:02:39,Page 13 Loaded
131791,Spr 25 CoT Form B1r,05/08/2025,9:03:38,Page next clicked on page 13
131791,Spr 25 CoT Form B1r,05/08/2025,9:03:39,Page 14 Loaded
131791,Spr 25 CoT Form B1r,05/08/2025,9:14:47,Continue activity Spring 2025 CoT HS Administration
131791,Spr 25 CoT Form B1r,05/08/2025,9:14:48,Page 14 Loaded
131791,Spr 25 CoT Form B1r,05/09/2025,8:16:47,Continue activity Spring 2025 CoT HS Administration
131791,Spr 25 CoT Form B1r,05/09/2025,8:16:48,Page 14 Loaded
131791,Spr 25 CoT Form B1r,05/09/2025,8:17:06,Page next clicked on page 14
131791,Spr 25 CoT Form B1r,05/09/2025,8:17:15,Page 15 Loaded
131791,Spr 25 CoT Form B1r,05/09/2025,8:17:17,Page next clicked on page 15
131791,Spr 25 CoT Form B1r,05/09/2025,8:17:17,Missing answers
131791,Spr 25 CoT Form B1r,05/09/2025,8:17:37,Page next clicked on page 15
131791,Spr 25 CoT Form B1r,05/09/2025,8:17:38,Page 16 Loaded
131791,Spr 25 CoT Form B1r,05/09/2025,8:17:59,Page next clicked on page 16
131791,Spr 25 CoT Form B1r,05/09/2025,8:18:01,Page 17 Loaded
131791,Spr 25 CoT Form B1r,05/09/2025,8:18:06,Page next clicked on page 17
131791,Spr 25 CoT Form B1r,05/09/2025,8:18:07,Page 18 Loaded
131791,Spr 25 CoT Form B1r,05/09/2025,8:18:29,Page next clicked on page 18
131791,Spr 25 CoT Form B1r,05/09/2025,8:18:32,Page 19 Loaded
131791,Spr 25 CoT Form B1r,05/09/2025,8:18:49,Page next clicked on page 19
131791,Spr 25 CoT Form B1r,05/09/2025,8:18:51,Missing answers
131791,Spr 25 CoT Form B1r,05/09/2025,8:19:00,Page next clicked on page 19
131791,Spr 25 CoT Form B1r,05/09/2025,8:19:05,Page 20 Loaded
131791,Spr 25 CoT Form B1r,05/09/2025,8:19:22,Page next clicked on page 20
131791,Spr 25 CoT Form B1r,05/09/2025,8:19:24,Page 21 Loaded
131791,Spr 25 CoT Form B1r,05/09/2025,8:19:31,Page next clicked on page 21
131791,Spr 25 CoT Form B1r,05/09/2025,8:19:32,Page 22 Loaded
131791,Spr 25 CoT Form B1r,05/09/2025,8:19:50,Page next clicked on page 22
131791,Spr 25 CoT Form B1r,05/09/2025,8:19:52,Page 23 Loaded
131791,Spr 25 CoT Form B1r,05/09/2025,8:19:56,Page next clicked on page 23
131791,Spr 25 CoT Form B1r,05/09/2025,8:19:57,Page 24 Loaded
131791,Spr 25 CoT Form B1r,05/09/2025,8:20:13,Page next clicked on page 24
131791,Spr 25 CoT Form B1r,05/09/2025,8:20:15,Page 25 Loaded
131791,Spr 25 CoT Form B1r,05/09/2025,8:20:21,Page next clicked on page 25
131791,Spr 25 CoT Form B1r,05/09/2025,8:20:24,End activity Spring 2025 CoT HS Administration
131726,Spr 25 CoT Form B1r,05/13/2025,9:34:33,Begin activity Spring 2025 CoT HS Administration
131726,Spr 25 CoT Form B1r,05/13/2025,9:34:33,Page 1 Loaded
131726,Spr 25 CoT Form B1r,05/13/2025,9:34:36,Page next clicked on page 1
131726,Spr 25 CoT Form B1r,05/13/2025,9:34:36,Page 2 Loaded
131726,Spr 25 CoT Form B1r,05/13/2025,9:34:41,Page next clicked on page 2
131726,Spr 25 CoT Form B1r,05/13/2025,9:34:42,Page 3 Loaded
131726,Spr 25 CoT Form B1r,05/13/2025,9:35:15,Page next clicked on page 3
131726,Spr 25 CoT Form B1r,05/13/2025,9:35:17,Page 4 Loaded
131726,Spr 25 CoT Form B1r,05/13/2025,9:37:36,Page next clicked on page 4
131726,Spr 25 CoT Form B1r,05/13/2025,9:37:39,Page 5 Loaded
131726,Spr 25 CoT Form B1r,05/13/2025,9:37:44,Page next clicked on page 5
131726,Spr 25 CoT Form B1r,05/13/2025,9:37:44,Page 6 Loaded
131726,Spr 25 CoT Form B1r,05/13/2025,9:41:47,Page next clicked on page 6
131726,Spr 25 CoT Form B1r,05/13/2025,9:41:47,Page 7 Loaded
131726,Spr 25 CoT Form B1r,05/13/2025,9:43:02,Page next clicked on page 7
131726,Spr 25 CoT Form B1r,05/13/2025,9:43:03,Page 8 Loaded
131726,Spr 25 CoT Form B1r,05/13/2025,9:44:34,Page next clicked on page 8
131726,Spr 25 CoT Form B1r,05/13/2025,9:44:35,Page 9 Loaded
131726,Spr 25 CoT Form B1r,05/13/2025,9:45:33,Page next clicked on page 9
131726,Spr 25 CoT Form B1r,05/13/2025,9:45:34,Page 10 Loaded
131726,Spr 25 CoT Form B1r,05/13/2025,9:48:44,Page next clicked on page 10
131726,Spr 25 CoT Form B1r,05/13/2025,9:48:44,Page 11 Loaded
131726,Spr 25 CoT Form B1r,05/13/2025,9:49:34,Page next clicked on page 11
131726,Spr 25 CoT Form B1r,05/13/2025,9:49:34,Page 12 Loaded
131726,Spr 25 CoT Form B1r,05/13/2025,9:52:32,Page next clicked on page 12
131726,Spr 25 CoT Form B1r,05/13/2025,9:52:35,Page 13 Loaded
131726,Spr 25 CoT Form B1r,05/13/2025,9:54:56,Page next clicked on page 13
131726,Spr 25 CoT Form B1r,05/13/2025,9:54:57,Page 14 Loaded
131726,Spr 25 CoT Form B1r,05/13/2025,9:57:18,Page next clicked on page 14
131726,Spr 25 CoT Form B1r,05/13/2025,9:57:30,Page 15 Loaded
131726,Spr 25 CoT Form B1r,05/13/2025,9:58:17,Page next clicked on page 15
131726,Spr 25 CoT Form B1r,05/13/2025,9:58:18,Page 16 Loaded
131726,Spr 25 CoT Form B1r,05/13/2025,10:00:09,Page next clicked on page 16
131726,Spr 25 CoT Form B1r,05/13/2025,10:00:12,Page 17 Loaded
131726,Spr 25 CoT Form B1r,05/13/2025,10:00:40,Page next clicked on page 17
131726,Spr 25 CoT Form B1r,05/13/2025,10:00:41,Page 18 Loaded
131726,Spr 25 CoT Form B1r,05/13/2025,10:01:39,Page next clicked on page 18
131726,Spr 25 CoT Form B1r,05/13/2025,10:01:42,Page 19 Loaded
131726,Spr 25 CoT Form B1r,05/13/2025,10:06:16,Page next clicked on page 19
131726,Spr 25 CoT Form B1r,05/13/2025,10:06:19,Page 20 Loaded
131726,Spr 25 CoT Form B1r,05/13/2025,10:06:47,Pause activity Spring 2025 CoT HS Administration
131726,Spr 25 CoT Form B1r,05/15/2025,6:50:17,Continue activity Spring 2025 CoT HS Administration
131726,Spr 25 CoT Form B1r,05/15/2025,6:50:18,Page 20 Loaded
131726,Spr 25 CoT Form B1r,05/15/2025,6:53:12,Page next clicked on page 20
131726,Spr 25 CoT Form B1r,05/15/2025,6:53:14,Page 21 Loaded
131726,Spr 25 CoT Form B1r,05/15/2025,6:55:05,Page next clicked on page 21
131726,Spr 25 CoT Form B1r,05/15/2025,6:55:06,Page 22 Loaded
131726,Spr 25 CoT Form B1r,05/15/2025,6:56:20,Page next clicked on page 22
131726,Spr 25 CoT Form B1r,05/15/2025,6:56:22,Page 23 Loaded
131726,Spr 25 CoT Form B1r,05/15/2025,6:58:31,Page next clicked on page 23
131726,Spr 25 CoT Form B1r,05/15/2025,6:58:32,Page 24 Loaded
131726,Spr 25 CoT Form B1r,05/15/2025,6:59:37,Page next clicked on page 24
131726,Spr 25 CoT Form B1r,05/15/2025,6:59:39,Page 25 Loaded
131726,Spr 25 CoT Form B1r,05/15/2025,7:00:20,Page next clicked on page 25
131726,Spr 25 CoT Form B1r,05/15/2025,7:00:23,End activity Spring 2025 CoT HS Administration
131800,Spr 25 CoT Form A1r,05/08/2025,8:52:16,Begin activity Spring 2025 CoT HS Administration
131800,Spr 25 CoT Form A1r,05/08/2025,8:52:16,Page 1 Loaded
131800,Spr 25 CoT Form A1r,05/08/2025,8:52:19,Page next clicked on page 1
131800,Spr 25 CoT Form A1r,05/08/2025,8:52:19,Page 2 Loaded
131800,Spr 25 CoT Form A1r,05/08/2025,8:52:24,Page next clicked on page 2
131800,Spr 25 CoT Form A1r,05/08/2025,8:52:25,Page 3 Loaded
131800,Spr 25 CoT Form A1r,05/08/2025,8:52:46,Page next clicked on page 3
131800,Spr 25 CoT Form A1r,05/08/2025,8:52:48,Page 4 Loaded
131800,Spr 25 CoT Form A1r,05/08/2025,8:53:55,Page next clicked on page 4
131800,Spr 25 CoT Form A1r,05/08/2025,8:53:59,Page 5 Loaded
131800,Spr 25 CoT Form A1r,05/08/2025,8:54:02,Page next clicked on page 5
131800,Spr 25 CoT Form A1r,05/08/2025,8:54:03,Page 6 Loaded
131800,Spr 25 CoT Form A1r,05/08/2025,8:57:33,Page next clicked on page 6
131800,Spr 25 CoT Form A1r,05/08/2025,8:57:35,Page 7 Loaded
131800,Spr 25 CoT Form A1r,05/08/2025,8:59:32,Page next clicked on page 7
131800,Spr 25 CoT Form A1r,05/08/2025,8:59:33,Page 8 Loaded
131800,Spr 25 CoT Form A1r,05/08/2025,9:03:57,Page next clicked on page 8
131800,Spr 25 CoT Form A1r,05/08/2025,9:03:58,Page 9 Loaded
131800,Spr 25 CoT Form A1r,05/08/2025,9:08:34,Page next clicked on page 9
131800,Spr 25 CoT Form A1r,05/08/2025,9:08:35,Page 10 Loaded
131800,Spr 25 CoT Form A1r,05/08/2025,9:09:52,Page next clicked on page 10
131800,Spr 25 CoT Form A1r,05/08/2025,9:09:53,Page 11 Loaded
131800,Spr 25 CoT Form A1r,05/08/2025,9:11:41,Page next clicked on page 11
131800,Spr 25 CoT Form A1r,05/08/2025,9:11:42,Page 12 Loaded
131800,Spr 25 CoT Form A1r,05/08/2025,9:13:21,Page next clicked on page 12
131800,Spr 25 CoT Form A1r,05/08/2025,9:13:21,Page 13 Loaded
131800,Spr 25 CoT Form A1r,05/08/2025,9:15:19,Page next clicked on page 13
131800,Spr 25 CoT Form A1r,05/08/2025,9:15:20,Page 14 Loaded
131800,Spr 25 CoT Form A1r,05/08/2025,9:19:10,Page next clicked on page 14
131800,Spr 25 CoT Form A1r,05/08/2025,9:19:11,Page 15 Loaded
131800,Spr 25 CoT Form A1r,05/08/2025,9:20:41,Page next clicked on page 15
131800,Spr 25 CoT Form A1r,05/08/2025,9:20:42,Page 16 Loaded
131800,Spr 25 CoT Form A1r,05/08/2025,9:20:54,Page next clicked on page 16
131800,Spr 25 CoT Form A1r,05/08/2025,9:20:55,Page 17 Loaded
131800,Spr 25 CoT Form A1r,05/08/2025,9:21:45,Page next clicked on page 17
131800,Spr 25 CoT Form A1r,05/08/2025,9:21:46,Page 18 Loaded
131800,Spr 25 CoT Form A1r,05/08/2025,9:22:54,Page next clicked on page 18
131800,Spr 25 CoT Form A1r,05/08/2025,9:22:55,Page 19 Loaded
131800,Spr 25 CoT Form A1r,05/08/2025,9:23:19,Page next clicked on page 19
131800,Spr 25 CoT Form A1r,05/08/2025,9:23:20,Page 20 Loaded
131800,Spr 25 CoT Form A1r,05/08/2025,9:24:49,Page next clicked on page 20
131800,Spr 25 CoT Form A1r,05/08/2025,9:24:51,Page 21 Loaded
131800,Spr 25 CoT Form A1r,05/08/2025,9:26:20,Page next clicked on page 21
131800,Spr 25 CoT Form A1r,05/08/2025,9:26:23,Page 22 Loaded
131800,Spr 25 CoT Form A1r,05/08/2025,9:26:37,Page next clicked on page 22
131800,Spr 25 CoT Form A1r,05/08/2025,9:26:38,Page 23 Loaded
131800,Spr 25 CoT Form A1r,05/08/2025,9:27:12,Page next clicked on page 23
131800,Spr 25 CoT Form A1r,05/08/2025,9:27:15,End activity Spring 2025 CoT HS Administration
131798,Spr 25 CoT Form A1,05/06/2025,9:07:16,Begin activity Spring 2025 CoT HS Administration
131798,Spr 25 CoT Form A1,05/06/2025,9:07:17,Page 1 Loaded
131798,Spr 25 CoT Form A1,05/06/2025,9:07:21,Page next clicked on page 1
131798,Spr 25 CoT Form A1,05/06/2025,9:07:22,Page 2 Loaded
131798,Spr 25 CoT Form A1,05/06/2025,9:07:25,Page next clicked on page 2
131798,Spr 25 CoT Form A1,05/06/2025,9:07:26,Page 3 Loaded
131798,Spr 25 CoT Form A1,05/06/2025,9:07:42,Page next clicked on page 3
131798,Spr 25 CoT Form A1,05/06/2025,9:07:44,Page 4 Loaded
131798,Spr 25 CoT Form A1,05/06/2025,9:08:50,Page next clicked on page 4
131798,Spr 25 CoT Form A1,05/06/2025,9:08:53,Missing answers
131798,Spr 25 CoT Form A1,05/06/2025,9:09:00,Page next clicked on page 4
131798,Spr 25 CoT Form A1,05/06/2025,9:09:07,Page 5 Loaded
131798,Spr 25 CoT Form A1,05/06/2025,9:09:08,Page next clicked on page 5
131798,Spr 25 CoT Form A1,05/06/2025,9:09:09,Page 6 Loaded
131798,Spr 25 CoT Form A1,05/06/2025,9:13:30,Page next clicked on page 6
131798,Spr 25 CoT Form A1,05/06/2025,9:13:33,Page 7 Loaded
131798,Spr 25 CoT Form A1,05/09/2025,8:46:07,Continue activity Spring 2025 CoT HS Administration
131798,Spr 25 CoT Form A1,05/09/2025,8:46:08,Page 7 Loaded
131798,Spr 25 CoT Form A1,05/09/2025,8:48:03,Page next clicked on page 7
131798,Spr 25 CoT Form A1,05/09/2025,8:48:06,Page 8 Loaded
131798,Spr 25 CoT Form A1,05/09/2025,8:48:45,Page next clicked on page 8
131798,Spr 25 CoT Form A1,05/09/2025,8:48:46,Page 9 Loaded
131798,Spr 25 CoT Form A1,05/09/2025,8:50:24,Page next clicked on page 9
131798,Spr 25 CoT Form A1,05/09/2025,8:50:26,Page 10 Loaded
131798,Spr 25 CoT Form A1,05/09/2025,8:58:22,Page next clicked on page 10
131798,Spr 25 CoT Form A1,05/09/2025,8:58:24,Page 11 Loaded
131798,Spr 25 CoT Form A1,05/09/2025,8:59:26,Page next clicked on page 11
131798,Spr 25 CoT Form A1,05/09/2025,8:59:27,Page 12 Loaded
131798,Spr 25 CoT Form A1,05/09/2025,8:59:56,Page next clicked on page 12
131798,Spr 25 CoT Form A1,05/09/2025,8:59:57,Page 13 Loaded
131798,Spr 25 CoT Form A1,05/09/2025,9:00:40,Page next clicked on page 13
131798,Spr 25 CoT Form A1,05/09/2025,9:00:40,Missing answers
131798,Spr 25 CoT Form A1,05/09/2025,9:01:15,Page next clicked on page 13
131798,Spr 25 CoT Form A1,05/09/2025,9:01:16,Page 14 Loaded
131798,Spr 25 CoT Form A1,05/09/2025,9:02:45,Page next clicked on page 14
131798,Spr 25 CoT Form A1,05/09/2025,9:02:47,Page 15 Loaded
131798,Spr 25 CoT Form A1,05/09/2025,9:02:58,Page next clicked on page 15
131798,Spr 25 CoT Form A1,05/09/2025,9:02:59,Page 16 Loaded
131798,Spr 25 CoT Form A1,05/09/2025,9:06:47,Page next clicked on page 16
131798,Spr 25 CoT Form A1,05/09/2025,9:06:48,Page 17 Loaded
131798,Spr 25 CoT Form A1,05/09/2025,9:08:22,Page next clicked on page 17
131798,Spr 25 CoT Form A1,05/09/2025,9:08:23,Page 18 Loaded
131798,Spr 25 CoT Form A1,05/09/2025,9:10:17,Page next clicked on page 18
131798,Spr 25 CoT Form A1,05/09/2025,9:10:18,Page 19 Loaded
131798,Spr 25 CoT Form A1,05/09/2025,9:12:38,Page next clicked on page 19
131798,Spr 25 CoT Form A1,05/09/2025,9:12:40,Page 20 Loaded
131798,Spr 25 CoT Form A1,05/09/2025,9:13:12,Page next clicked on page 20
131798,Spr 25 CoT Form A1,05/09/2025,9:13:13,Page 21 Loaded
131798,Spr 25 CoT Form A1,05/09/2025,9:14:42,Page next clicked on page 21
131798,Spr 25 CoT Form A1,05/09/2025,9:14:43,Page 22 Loaded
131798,Spr 25 CoT Form A1,05/09/2025,9:14:50,Page next clicked on page 22
131798,Spr 25 CoT Form A1,05/09/2025,9:14:50,Page 23 Loaded
131798,Spr 25 CoT Form A1,05/09/2025,9:16:43,Page next clicked on page 23
131798,Spr 25 CoT Form A1,05/09/2025,9:16:44,Missing answers
131798,Spr 25 CoT Form A1,05/09/2025,9:20:59,Page next clicked on page 23
131798,Spr 25 CoT Form A1,05/09/2025,9:21:01,End activity Spring 2025 CoT HS Administration
131792,Spr 25 CoT Form A1r,05/08/2025,8:51:28,Begin activity Spring 2025 CoT HS Administration
131792,Spr 25 CoT Form A1r,05/08/2025,8:51:29,Page 1 Loaded
131792,Spr 25 CoT Form A1r,05/08/2025,8:58:29,Page next clicked on page 1
131792,Spr 25 CoT Form A1r,05/08/2025,8:58:30,Page 2 Loaded
131792,Spr 25 CoT Form A1r,05/08/2025,8:58:42,Page next clicked on page 2
131792,Spr 25 CoT Form A1r,05/08/2025,8:58:43,Page 3 Loaded
131792,Spr 25 CoT Form A1r,05/08/2025,8:59:10,Page next clicked on page 3
131792,Spr 25 CoT Form A1r,05/08/2025,8:59:12,Page 4 Loaded
131792,Spr 25 CoT Form A1r,05/08/2025,9:00:52,Page next clicked on page 4
131792,Spr 25 CoT Form A1r,05/08/2025,9:00:56,Missing answers
131792,Spr 25 CoT Form A1r,05/08/2025,9:01:20,Page next clicked on page 4
131792,Spr 25 CoT Form A1r,05/08/2025,9:01:23,Missing answers
131792,Spr 25 CoT Form A1r,05/08/2025,9:01:47,Page next clicked on page 4
131792,Spr 25 CoT Form A1r,05/08/2025,9:01:51,Page 5 Loaded
131792,Spr 25 CoT Form A1r,05/08/2025,9:01:51,Page next clicked on page 5
131792,Spr 25 CoT Form A1r,05/08/2025,9:01:52,Page 6 Loaded
131792,Spr 25 CoT Form A1r,05/08/2025,9:07:39,Page next clicked on page 6
131792,Spr 25 CoT Form A1r,05/08/2025,9:07:42,Page 7 Loaded
131792,Spr 25 CoT Form A1r,05/08/2025,9:12:15,Page next clicked on page 7
